distance (nm),number_prob_density
-2.4266666666666667,0.32874644823456933
-2.4,0.3215720592090816
-2.373333333333333,0.3149291064077021
-2.3466666666666667,0.29922516598524773
-2.32,0.2850623906127109
-2.293333333333333,0.2724142084788906
-2.2666666666666666,0.25668369624522475
-2.24,0.2374988485548457
-2.213333333333333,0.22097118198502283
-2.1866666666666665,0.20930615686580084
-2.16,0.18828785420224348
-2.1333333333333333,0.16482494490777816
-2.1066666666666665,0.1572519787142073
-2.08,0.13062702388628689
-2.0533333333333332,0.11540137606552966
-2.0266666666666664,0.10312519928858374
-2.0,0.08824498501349848
-1.9733333333333332,0.07727082698562288
-1.9466666666666663,0.06650924344739204
-1.92,0.054339353915267126
-1.893333333333333,0.04721810851219163
-1.8666666666666667,0.039937432241881385
-1.8399999999999999,0.03395877472064128
-1.813333333333333,0.02702353199600388
-1.7866666666666666,0.02218746235660078
-1.7599999999999998,0.018865985955912025
-1.7333333333333334,0.01596965853451146
-1.7066666666666666,0.012727897567439247
-1.6799999999999997,0.00937984935554499
-1.6533333333333333,0.008237261473708072
-1.6266666666666665,0.006111516577267278
-1.5999999999999996,0.004092058925648521
-1.5733333333333333,0.0028697556101950766
-1.5466666666666664,0.0027368965541675508
-1.52,0.0018865985955912054
-1.4933333333333332,0.0017005959171526117
-1.4666666666666663,0.0015145932387140815
-1.44,0.0005580080353157098
-1.413333333333333,0.0007705825249597782
-1.3866666666666667,0.0005048644129046907
-1.3599999999999999,0.0005314362241102022
-1.333333333333333,0.0003720053568771322
-1.3066666666666666,0.00039857716808265126
-1.2799999999999998,0.00015943086723306123
-1.253333333333333,0.0001328590560275466
-1.2266666666666666,0.0002922899232606122
-1.1999999999999997,0.00021257448964408162
-1.1733333333333333,0.00021257448964408116
-1.1466666666666665,0.0001860026784385652
-1.1199999999999997,0.00010628724482204081
-1.0933333333333333,0.00010628724482204081
-1.0666666666666664,2.6571811205509318e-05
-1.0399999999999996,0.0
-1.0133333333333332,2.6571811205510202e-05
-0.9866666666666664,0.0
-0.96,0.0
-0.9333333333333331,0.0
-0.9066666666666663,0.0
-0.8799999999999999,0.0
-0.853333333333333,0.0
-0.8266666666666667,0.0
-0.7999999999999998,0.0
-0.773333333333333,0.0
-0.7466666666666666,0.0
-0.7199999999999998,0.0
-0.6933333333333329,0.0
-0.6666666666666665,0.0
-0.6399999999999997,0.0
-0.6133333333333333,0.0
-0.5866666666666664,0.0
-0.5599999999999996,0.0
-0.5333333333333332,0.0
-0.5066666666666664,0.0
-0.48,0.0
-0.45333333333333314,0.0
-0.4266666666666663,0.0
-0.3999999999999999,0.0
-0.3733333333333331,0.0
