distance (nm),number_prob_density
0.5333333333333332,0.0
0.5600000000000005,0.0
0.5866666666666669,0.0
0.6133333333333333,0.0
0.6400000000000006,0.0
0.666666666666667,0.0
0.6933333333333334,0.0
0.7200000000000006,0.0
0.746666666666667,0.0
0.7733333333333334,0.0
0.8000000000000007,0.0
0.8266666666666671,0.0
0.8533333333333335,0.0
0.8799999999999999,0.0
0.9066666666666672,3.577534229847488e-05
0.9333333333333336,7.155068459694976e-05
0.96,0.0001431013691939007
0.9866666666666672,0.00032197808068627396
1.0133333333333336,0.00032197808068627927
1.04,0.0004293041075816986
1.0666666666666673,0.0005366301344771244
1.0933333333333337,0.0013236876650435927
1.12,0.0015741150611328913
1.1466666666666674,0.002826252041579521
1.1733333333333338,0.002862027383878038
1.2000000000000002,0.004078389022026142
